filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14560	100.0	18084.686	27587.117	26716.943	18557.295	35125.164	37870.297
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14569	75.8	231931.81	96083.94	128987.195	100827.84	122641.24	107076.71
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=14643	100.0	35248.574	54934.734	64267.562	53257.047	74542.47	51469.195
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15027	10.401	854683.6	2949783.0	6847673.5	11225508.0	1868713.0	266234.56
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15163	100.0	87522.64	138579.56	137233.81	75403.96	217547.78	119220.89
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15188	58.659	376924.9	198433.28	314855.88	198195.47	119939.95	188212.53
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15230	55.5	643141.5	355792.1	315724.97	156255.23	158232.12	146838.81
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15245	100.0	61259.42	66105.53	77056.914	55514.75	49636.14	60430.74
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15302	10.371	1028515.5	1099991.8	1236074.1	857578.94	1134869.2	632858.94
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15547	100.0	11967.307	21430.648	24424.354	20495.746	165802.62	130991.96
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15654	100.0	30463.121	18958.277	30865.467	21758.953	24055.988	23183.525
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15789	100.0	163113.78	112496.92	116994.83	78597.84	113414.31	141803.56
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15801	25.151	124069.25	103346.22	87938.34	73849.52	72210.516	54518.41
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15813	10.981	1129606.1	1571725.4	1325932.2	1015689.25	989736.4	722756.5
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=15941	100.0	29754.59	32702.465	38254.793	23220.148	115828.555	131128.14
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=16081	100.0	42346.27	24169.65	39343.1	17342.512	32146.389	24443.887
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=16280	100.0	21077.406	19747.041	31089.592	28012.46	151246.0	39855.215
